Theme,Subdomain,Instrument,Instrument_version,variable_name_CBS,variable_label_NL,variable_label_EN,values,value_labels_NL,value_labels_EN
demographics,lifestyle,no instrument,,smokingstatus,Rook je?,Do you smoke?,"[1]No
[2]No, but I have smoked in the past
[3]Yes, occasionally
[4]Daily, less than 10 cigarettes/cigars per day
[5]Daily, 10 or more cigarettes/cigars per day
[6]Daily, e-cigarettes/vapes only","[1]Nee
[2]Nee, maar ik heb in het verleden wel gerookt
[3]Ja, af en toe
[4]Dagelijks, minder dan 10 sigaretten/sigaren per dag
[5]Dagelijks, 10 of meer sigaretten/sigaren per dag
[6]Dagelijks, alleen e-sigaretten/vapes","[1]No
[2]No, but I have smoked in the past
[3]Yes, occasionally
[4]Daily, less than 10 cigarettes/cigars per day
[5]Daily, 10 or more cigarettes/cigars per day
[6]Daily, e-cigarettes/vapes only"
demographics,work,no instrument,,paidjob,Heb je op dit moment betaald werk?,Do you have a paid job at this moment?,"[1]Yes
[0]No
[3]Yes, but I have been reported sick (partly) due to long-term complaints
[4]No, I no longer have a job due to long-term complaints","[1]Ja
[0]Nee
[3]Ja, maar ik ben (deels) ziek gemeld door langdurige klachten
[4]Nee, ik heb geen werk meer door langdurige klachten","[1]Yes
[0]No
[3]Yes, but I have been reported sick (partly) due to long-term complaints
[4]No, I no longer have a job due to long-term complaints"
demographics,activity,no instrument,,hours_household,Huishoudelijke activiteiten? (uren per week):,Household activities (hours per week),,,
demographics,activity,no instrument,,hours_family,Gezinsactiviteiten? (uren per week):,Family activities (hours per week),,,
symptoms,frequency,DSQ,,dsq_fatigue_freq,Frequentie afgelopen 6 maanden: Vermoeidheid/extreme uitputting,Frequency past 6 months: Fatigue / extreme tiredness,"[0]none of the time
[1]a little of the time
[2]about half the time
[3]most of the time
[4]all of the time","[0]nooit
[1]soms
[2]ongeveer de helft van de tijd
[3]meestal
[4]altijd","[0]none of the time
[1]a little of the time
[2]about half the time
[3]most of the time
[4]all of the time"
symptoms,severity,DSQ-2,2,dsq_slowspeech_sev,Ernst afgelopen 6 maanden: Traag spreken,Severity past 6 months: Slowed speech,"[1]mild
[2]moderate
[3]severe
[4]very severe","[1]mild
[2]matig
[3]ernstig
[4]zeer ernstig","[1]mild
[2]moderate
[3]severe
[4]very severe"
symptoms,frequency,DSQ-SF + DSQ-2,SF / 2,dsq_memory_freq,Frequentie afgelopen 6 maanden: Moeite met herinneren van dingen,Frequency past 6 months: Problems remembering things,"[0]none of the time
[1]a little of the time
[2]about half the time
[3]most of the time
[4]all of the time","[0]nooit
[1]soms
[2]ongeveer de helft van de tijd
[3]meestal
[4]altijd","[0]none of the time
[1]a little of the time
[2]about half the time
[3]most of the time
[4]all of the time"
symptoms,frequency / PEM,DSQ-PEM + DSQ-2,PEM / 2,dsq_exhausted_freq,Frequentie afgelopen 6 maanden: Lichamelijk uitgeput of ziek na milde activiteit,Frequency past 6 months: Physically drained or sick after mild activity,"[0]none of the time
[1]a little of the time
[2]about half the time
[3]most of the time
[4]all of the time","[0]nooit
[1]soms
[2]ongeveer de helft van de tijd
[3]meestal
[4]altijd","[0]none of the time
[1]a little of the time
[2]about half the time
[3]most of the time
[4]all of the time"
symptoms,frequency / PEM,DSQ-SF + DSQ-PEM + DSQ-2,SF / PEM / 2,dsq_heavy_freq,"Frequentie afgelopen 6 maanden: Dood, zwaar gevoel na beginnen met sporten","Frequency past 6 months: Dead, heavy feeling after starting to exercise","[0]none of the time
[1]a little of the time
[2]about half the time
[3]most of the time
[4]all of the time","[0]nooit
[1]soms
[2]ongeveer de helft van de tijd
[3]meestal
[4]altijd","[0]none of the time
[1]a little of the time
[2]about half the time
[3]most of the time
[4]all of the time"
symptoms,frequency,DSQ-2,2,dsq_muscletwitch_freq,Frequentie afgelopen 6 maanden: Spiertrekkingen,Frequency past 6 months: Muscle twitches,"[0]none of the time
[1]a little of the time
[2]about half the time
[3]most of the time
[4]all of the time","[0]nooit
[1]soms
[2]ongeveer de helft van de tijd
[3]meestal
[4]altijd","[0]none of the time
[1]a little of the time
[2]about half the time
[3]most of the time
[4]all of the time"
symptoms,severity,DSQ-2,2,dsq_muscletwitch_sev,Ernst afgelopen 6 maanden: Spiertrekkingen,Severity past 6 months: Muscle twitches,"[1]mild
[2]moderate
[3]severe
[4]very severe","[1]mild
[2]matig
[3]ernstig
[4]zeer ernstig","[1]mild
[2]moderate
[3]severe
[4]very severe"
symptoms,frequency / PEM,DSQ-SF + DSQ-PEM + DSQ-2,SF / PEM / 2,dsq_soreness_freq,Frequentie afgelopen 6 maanden: Spierpijn of vermoeidheid de volgende dag na niet-zware alledaagse activiteiten,Frequency past 6 months: Next-day soreness or fatigue after non-strenuous everyday activities,"[0]none of the time
[1]a little of the time
[2]about half the time
[3]most of the time
[4]all of the time","[0]nooit
[1]soms
[2]ongeveer de helft van de tijd
[3]meestal
[4]altijd","[0]none of the time
[1]a little of the time
[2]about half the time
[3]most of the time
[4]all of the time"
